Quantify Compound Summary Report 

Printed Fri Nov 09 10:38:52 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
20	20	HS Batch 1	TremuloidinSTD_0015_0711_A	Standard	1.0000			592642				
21	21	HS Batch 1	TremuloidinSTD_003_0711_A	Standard	1.0000	4.86	29	599975	0.000	bb	0.753755	-24.6
22	22	HS Batch 1	TremuloidinSTD_015_0711_A	Standard	1.0000			613942				
23	23	HS Batch 1	TremuloidinSTD_0375_0711_A	Standard	1.0000	5.04	15	614047	0.000	bb	0.393235	-60.7
24	24	HS Batch 1	BLANK_07112018_E	Blank	1.0000	4.84	3	153	0.017	bb	268.122896	26712.3
25	25	HS Batch 1	HS-1_250_0711_A	Analyte	1.0000			539990				
26	26	HS Batch 1	HS-1_299_0711_A	Analyte	1.0000	5.06	14	563466	0.000	bb	0.388405	-61.2
27	27	HS Batch 1	HS-1	Analyte	1.0000			496657				
28	28	HS Batch 1	HS-2	Analyte	1.0000			508055				
29	29	HS Batch 1	HS-3	Analyte	1.0000	5.06	8	491689	0.000	bb	0.244777	-75.5
30	30	HS Batch 1	HS-4	Analyte	1.0000			500085				
31	31	HS Batch 1	HS-5	Analyte	1.0000			512210				
32	32	HS Batch 1	HS-6	Analyte	1.0000			528294				
33	33	HS Batch 1	HS-7	Analyte	1.0000			539633				
34	34	HS Batch 1	HS-8	Analyte	1.0000			555744				
35	35	HS Batch 1	HS-9	Analyte	1.0000			532276				
36	36	HS Batch 1	HS-10	Analyte	1.0000			537337				
37	37	HS Batch 1	HS-11	Analyte	1.0000			535064				
38	38	HS Batch 1	HS-12	Analyte	1.0000	4.80	1403	533043	0.003	bb	41.475845	4047.6
39	39	HS Batch 1	HS-1_250_0711_B	Analyte	1.0000	4.80	2923	604580	0.005	bb	76.190887	7519.1
40	40	HS Batch 1	HS-1_299_0711_B	Analyte	1.0000	4.80	2796	590663	0.005	bb	74.584487	7358.4
41	41	HS Batch 1	HS-13	Analyte	1.0000	4.82	3059	559990	0.005	bb	86.082361	8508.2
42	42	HS Batch 1	HS-14	Analyte	1.0000	4.82	3186	572739	0.006	bb	87.650801	8665.1
43	43	HS Batch 1	HS-15	Analyte	1.0000	4.84	5636	559418	0.010	bb	158.760787	15776.1
44	44	HS Batch 1	HS-16	Analyte	1.0000	4.82	3111	572982	0.005	bb	85.548609	8454.9
45	45	HS Batch 1	HS-17	Analyte	1.0000	4.82	1387	561237	0.002	bb	38.928312	3792.8
46	46	HS Batch 1	HS-18	Analyte	1.0000	4.80	1624	587852	0.003	bb	43.520698	4252.1
47	47	HS Batch 1	HS-19	Analyte	1.0000			567983				
48	48	HS Batch 1	HS-20	Analyte	1.0000			601132				
49	49	HS Batch 1	HS-21	Analyte	1.0000			625251				
50	50	HS Batch 1	HS-22	Analyte	1.0000			581051				
51	51	HS Batch 1	HS-23	Analyte	1.0000			607742				
52	52	HS Batch 1	HS-24	Analyte	1.0000			598305				
53	53	HS Batch 1	HS-25	Analyte	1.0000			611470				
54	54	HS Batch 1	HS-1_250_0711_C	Analyte	1.0000			606767				
55	55	HS Batch 1	HS-1_299_0711_C	Analyte	1.0000			645452				
56	56	HS Batch 1	HS-26	Analyte	1.0000			606813				
57	57	HS Batch 1	HS-27	Analyte	1.0000			599755				
58	58	HS Batch 1	HS-28	Analyte	1.0000			608364				
59	59	HS Batch 1	HS-29	Analyte	1.0000			602246				
60	60	HS Batch 1	HS-30	Analyte	1.0000			647534				
61	61	HS Batch 1	HS-31	Analyte	1.0000	5.08	8	665358	0.000	bb	0.182923	-81.7
62	62	HS Batch 1	HS-32	Analyte	1.0000			627067				
63	63	HS Batch 1	HS-33	Analyte	1.0000			643175				
64	64	HS Batch 1	HS-34	Analyte	1.0000	5.08	8	665299	0.000	bb	0.182750	-81.7
65	65	HS Batch 1	HS-35	Analyte	1.0000			643253				
